logged_at_utc,scan_type,ticker,yf_first,yf_last,yf_bars,sa_first,sa_last,sa_bars,common_days,sa_staleness_days,close_pct_diff_last,close_pct_diff_max,close_pct_diff_mean,adj_pct_diff_last,adj_pct_diff_max,last_common_date,yf_close,sa_close,sa_adj,yf_volume,sa_volume,volume_pct_diff_last,ohlc_pct_diff_max_last,note
2026-09-16T20:30:18.963270+00:00,post_close,ISRG,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.0014,0.0,38129.0009,48261.9995,2026-09-16,382.29,382.29,1.0,2133402,1400472.97855,52.3344,0.0053,
2026-09-16T20:30:18.963270+00:00,post_close,JNJ,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.0598,0.644,26627.9999,27742.9993,2026-09-16,267.28,267.28,1.0,4811356,2855626.969727,68.4869,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,KEY,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.9202,1.2719,1971.9999,2298.9999,2026-09-16,20.72,20.72,1.0,27319006,21260968.548361,28.4937,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,KLAC,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.2402,0.1364,16636.0001,30070.9985,2026-09-16,167.36,167.36,1.0,6611699,4185748.971581,57.9574,0.0175,
2026-09-16T20:30:18.963270+00:00,post_close,LLY,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.3147,0.1739,113681.9946,127933.9966,2026-09-16,1137.8199,1137.82,1.0,1333338,886033.067485,50.484,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,LOW,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.089,0.5142,19310.0006,25228.999,2026-09-16,194.1,194.1,1.0,2842484,2278490.353029,24.753,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,MCD,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.3747,0.9238,24755.9998,32529.9986,2026-09-16,248.56,248.56,1.0,7101850,5211885.178294,36.2626,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,MRK,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.2966,0.9241,14391.0004,15544.9991,2026-09-16,144.91,144.91,1.0,6671068,3914697.697725,70.4108,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,MTB,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.3308,0.868,22500.9995,25309.0,2026-09-16,226.01,226.01,1.0,1769430,948698.294658,86.5114,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,MU,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.0574,0.0121,92554.9988,121256.0007,2026-09-16,926.55,926.55,1.0,19821907,17382473.330244,14.0339,0.107,
2026-09-16T20:30:18.963270+00:00,post_close,NKE,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.9272,1.3181,3477.9999,5412.0001,2026-09-16,35.78,35.78,1.0,29611078,20809514.865966,42.2959,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,NVDA,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,0.2281,0.1578,21289.9994,23474.0013,2026-09-16,213.9,213.9,1.0,95286256,71264851.655102,33.7072,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,ONB,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,-0.0,1.1597,0.7879,2430.9999,2629.0001,2026-09-16,25.31,25.31,1.0,6259957,4205020.980926,48.8686,0.0202,
